PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-2.078702_-0.377951_4.157389_co2 0.141703062058 0.0182362284435 0.00209763784111 0.30556616332 -0.0201370052037 0.0048494970238 -0.00484641
Pt:-2.078702_0.377939_-4.157401_co2 0.141732982451 0.0182477825411 0.00210045458059 0.305659525368 -0.0201710205006 0.00486104241145 -0.00485824
Pt:-2.078702_0.377939_-3.401511_co2 0.145985325431 0.0199399895277 0.00252977598395 0.319394033951 -0.0255975050857 0.00682199871967 -0.00681661
Pt:-2.078702_0.377939_-2.645621_co2 0.14967763314 0.0214915649174 0.00295217799981 0.332166639207 -0.0314362007697 0.00918702832222 -0.0090498
Pt:-2.078702_0.377939_-1.889731_co2 0.152638832975 0.022792524464 0.00332704368649 0.343083532837 -0.0370734979373 0.0117098807225 -0.0112708
Pt:-2.078702_0.377939_1.889719_co2 0.152647509723 0.0227964116053 0.00332819161874 0.343116499993 -0.037091461244 0.0117182852142 -0.0112779
Pt:-2.078702_0.377939_2.645609_co2 0.149689087569 0.0214964993711 0.00295356447103 0.332207644476 -0.0314562351366 0.00919558405267 -0.00905758
Pt:-2.078702_0.377939_3.401499_co2 0.145998989686 0.0199455892123 0.00253125144728 0.319439756524 -0.0256170096759 0.00682946630309 -0.00682385
Pt:-2.078702_0.377939_4.157389_co2 0.141748266224 0.0182536864251 0.00210189447712 0.305707232651 -0.0201884166232 0.00486695062406 -0.00486426
Pt:-2.078702_1.133829_-3.401511_co2 0.145153078537 0.0196009026822 0.00244109827237 0.316629392854 -0.0244362723567 0.00638274369252 -0.00638624
Pt:-2.078702_1.133829_-2.645621_co2 0.148781019229 0.0211076511304 0.00284513958729 0.328984570048 -0.0299071032439 0.00854281203672 -0.00845565
Pt:-2.078702_1.133829_-1.889731_co2 0.15168828449 0.02236935378 0.00320306357785 0.339507729704 -0.0351590901496 0.0108273781963 -0.0105134
Pt:-2.078702_1.133829_-1.133841_co2 0.153724486662 0.0232823317546 0.0034729875646 0.347255940453 -0.0393930474805 0.0128139879585 -0.0121876
